yr,mnth,dteday,season,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,year_month
2011,1,2011-01-31,1,1,91,20,1.4838709677419355,0.19770669032258065,0.20448957096774195,0.5843663548387097,0.19541879999999998,3073,35116,38189,2011-1
2011,2,2011-02-28,1,1,84,19,1.3214285714285714,0.2825400714285714,0.28441239285714287,0.5600931071428571,0.22856804642857145,6242,41973,48215,2011-2
2011,3,2011-03-31,2,0,93,23,1.5161290322580645,0.33166658064516125,0.3252991612903226,0.5694138387096774,0.23240777419354838,12826,51219,64045,2011-3
2011,4,2011-04-30,2,1,95,20,1.5666666666666667,0.4711884333333333,0.4567749,0.6682874000000001,0.2442164,22346,72524,94870,2011-4
2011,5,2011-05-31,2,1,87,21,1.3870967741935485,0.5772312258064516,0.5508136129032258,0.7133601935483871,0.18127430645161288,31050,104771,135821,2011-5
2011,6,2011-06-30,3,0,91,22,1.3,0.6930833333333334,0.6465594333333333,0.5932499666666666,0.17819537666666668,30612,112900,143512,2011-6
2011,7,2011-07-31,3,1,95,20,1.1290322580645162,0.7585753225806451,0.7106601612903226,0.5896639677419354,0.17166740322580645,36452,104889,141341,2011-7
2011,8,2011-08-31,3,0,90,23,1.2580645161290323,0.7053621290322581,0.6554151612903225,0.626831129032258,0.19072054193548388,28842,107849,136691,2011-8
2011,9,2011-09-30,4,1,93,21,1.7333333333333334,0.6128865666666667,0.5685450333333333,0.7840537666666666,0.1529894066666667,26545,100873,127418,2011-9
2011,10,2011-10-31,4,1,91,20,1.5161290322580645,0.46997551612903227,0.4587762258064516,0.7067946774193549,0.17568555161290322,25222,98289,123511,2011-10
2011,11,2011-11-30,4,2,89,20,1.4333333333333333,0.40233813333333335,0.39932253333333334,0.6753097,0.18094582666666667,15594,86573,102167,2011-11
2011,12,2011-12-31,1,1,99,21,1.4193548387096775,0.32518222580645156,0.3298781935483871,0.6491830000000001,0.1680400129032258,8448,78875,87323,2011-12
2012,1,2012-01-31,1,2,87,20,1.3548387096774193,0.2751811612903226,0.2751022258064516,0.5872901935483871,0.21718673548387096,8969,87775,96744,2012-1
2012,2,2012-02-29,1,1,87,20,1.4137931034482758,0.3153374137931035,0.31452189655172413,0.5745820689655173,0.20324410344827584,8721,94416,103137,2012-2
2012,3,2012-03-31,2,0,99,22,1.3870967741935485,0.44941093548387095,0.4386082258064516,0.6075362258064516,0.2129911064516129,31618,133257,164875,2012-3
2012,4,2012-04-30,2,1,85,20,1.2666666666666666,0.46880923333333335,0.45738690000000004,0.5078388333333334,0.22474807333333333,38456,135768,174224,2012-4
2012,5,2012-05-31,2,1,93,22,1.4193548387096775,0.6123656129032258,0.5805103870967742,0.6645564193548387,0.18470354838709677,44235,151630,195865,2012-5
2012,6,2012-06-30,3,0,95,21,1.1666666666666667,0.6751110666666666,0.629932,0.5583610666666666,0.19264443333333334,43294,159536,202830,2012-6
2012,7,2012-07-31,3,1,87,21,1.2580645161290323,0.7523655161290322,0.6975275483870967,0.6060886774193548,0.16045025161290322,41705,161902,203607,2012-7
2012,8,2012-08-31,3,0,96,23,1.3548387096774193,0.711801,0.6475344516129032,0.648629064516129,0.15511575483870968,43197,171306,214503,2012-8
2012,9,2012-09-30,4,1,90,19,1.2666666666666666,0.6200833666666666,0.5900531333333333,0.6453749666666667,0.17890083666666667,43778,174795,218573,2012-9
2012,10,2012-10-31,4,1,90,22,1.6129032258064515,0.5000488709677419,0.4851701935483871,0.6807270645161291,0.17472539677419355,34538,164303,198841,2012-10
2012,11,2012-11-30,4,2,93,20,1.2666666666666666,0.33610140000000005,0.3353949666666667,0.5744432666666667,0.18665701333333334,21009,131655,152664,2012-11
2012,12,2012-12-31,1,1,91,20,1.6451612903225807,0.32287970967741936,0.3224412258064516,0.6828980322580646,0.18517782903225807,13245,110468,123713,2012-12
